"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"68","Too early to compare Babar Azam with Virat Kohli: Wasim Akram","1661248475030","Virat Kohli has struggled for runs over the past two years but Pakistan legend Wasim Akram feels the former India captain remains one of the all-time greats and comparing Babar Azam with him is still a bit premature.","https://timesofindia.indiatimes.com/sports/cricket/asia-cup/it-is-still-too-early-to-compare-babar-azam-with-one-of-all-time-greats-virat-kohli-wasim-akram/articleshow/93729697.cms","29","SPORTS"
"69","Virat Kohli is tired and running out of time, says former Zimbabwe all-rounder Dirk Viljoen","1661251840030","The upcoming Asia Cup, starting August 27, in many ways will be a testing ground for the selectors to assess Indian talent ahead of the T20 World Cup in Australia later this year. The million dollar question is - if Virat doesn't come good with the bat with consistent high scores etc, will his spot in the T20 World Cup squad be in danger?","https://timesofindia.indiatimes.com/sports/cricket/asia-cup/virat-kohli-is-tired-and-running-out-of-time-says-former-zimbabwe-all-rounder-dirk-viljoen/articleshow/93730818.cms","30","SPORTS"
"70","In Pics: Shubman Gill dedicates maiden ton to hard-to-please dad","1661260579030","","https://timesofindia.indiatimes.com/sports/cricket/web-stories/shubman-gill-dedicates-maiden-ton-to-hard-to-please-dad/photostory/93731277.cms","31","SPORTS"
"71","India must continue with their aggressive batting approach: Ravi Shastri","1661257283030","Ravi Shastri on Tuesday said India must continue with their ultra-aggressive approach with the bat in the shortest format after being a tad 'timid' in the past. India's conservative approach at the start of the innings had contributed to their early exit from the T20 World Cup last year. The tournament was Shastri's last assignment as India head coach.","https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-must-continue-with-their-aggressive-batting-approach-ravi-shastri/articleshow/93733887.cms","32","SPORTS"
"72","AIFF writes to FIFA, requests lifting of ban after SC verdict","1661258176030","The All India Football Federation on Tuesday requested the FIFA to lift the ban imposed on it following Supreme Court's decision to terminate the mandate of Committee of Administrators as demanded by the sport's world governing body. AIFF's acting general secretary Sunando Dhar requested FIFA secretary general Fatma Samoura to ""reconsider their decision of suspending the AIFF"".","https://timesofindia.indiatimes.com/sports/football/top-stories/aiff-writes-to-fifa-requests-lifting-of-ban-after-sc-verdict/articleshow/93734433.cms","33","SPORTS"
"73","AIFF Acting General Secretary Sunando Dhar Writes to FIFA, Requests to Reconsider Suspension","1661251794030","Sunando Dhar wrote the Supreme Court has passed directions regarding the full repeal of the CoA mandate and consequently the AIFF has full charge of the AIFF’s daily affairs","https://www.news18.com/news/football/aiff-acting-general-secretary-sunando-dhar-writes-to-fifa-requests-to-reconsider-suspension-5806507.html","33","SPORTS"
"74","AIFF writes to FIFA, requests to lift ban after Supreme Court verdict","1661261958000","AIFF's acting general secretary Sunando Dhar requested FIFA secretary general Fatma Samoura to ""reconsider their decision of suspending the AIFF"".","https://www.hindustantimes.com/sports/football/aiff-writes-to-fifa-requests-to-lift-ban-after-supreme-court-verdict-101661261706844.html","33","SPORTS"
"75","Sikandar Raza - The man who almost denied India a 3-0 win","1661249089030","Zimbabwe's experienced batsman Sikandar Raza almost denied Team India a 3-0 scoreline against Zimbabwe on Monday. The dangerous and well-settled Raza brought up his sixth ODI century, but with Zimbabwe on 275/8, needing 15 more runs to win, Raza fell to a tricky knuckleball by Shardul Thakur.","https://timesofindia.indiatimes.com/sports/cricket/news/sikandar-raza-the-zimbabwean-cricketer-who-almost-denied-india-a-3-0-series-win/articleshow/93729723.cms","34","SPORTS"
"76","BWF Worlds: Saina Nehwal wins, gets a bye in second round, advances to PQFs","1661269016030","Former world No.1 Saina Nehwal made it to the pre-quarterfinals of the BWF World Championships in Tokyo on Tuesday. Saina, who won a silver and bronze at the Worlds, is just two more victories away from winning her third medal at the Worlds.","https://timesofindia.indiatimes.com/sports/badminton/bwf-worlds-saina-nehwal-wins-gets-a-bye-in-second-round-advances-to-pqfs/articleshow/93737519.cms","35","SPORTS"
"77","World Championships: Saina Nehwal, 32, proves she still has the heart for a fight","1661245875000","","https://indianexpress.com/article/sports/badminton/bwf-worlds-saina-advances-in-to-pre-quarters-tokyo-8106920/","35","SPORTS"
