"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"55","Raksha Bandhan box office collection","1661260718030","Bollywood superstar Akshay Kumar's latest release 'Raksha Bandhan' is coming to the end of its run at the box office with an underwhelming report.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/raksha-bandhan-box-office-collection-week-2-akshay-kumar-starrer-earns-less-than-rs-50-lakh-on-second-monday/articleshow/93734856.cms","49","ENTERTAINMENT"
"56","'Laal Singh Chaddha' Box Office Collection","1661259087030","Aamir Khan and Kareena Kapoor Khan starrer 'Laal Singh Chaddha' continues to perform poorly at the box office. Post the Janmashtami celebration, the film witnessed a huge drop.","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/laal-singh-chaddha-box-office-collection-aamir-khan-starrer-continues-to-drop-further/articleshow/93734696.cms","50","ENTERTAINMENT"
"57","Laal Singh Chaddha is now the highest-grossing Hindi film at international box office, earns more than Gangubai Kathiawadi and Kashmir Files","1661239384000","","https://indianexpress.com/article/entertainment/bollywood/aamir-khan-laal-singh-chaddha-highest-grossing-hindi-film-internationally-8106535/","50","ENTERTAINMENT"
"58","Laal Singh Chaddha box office: Aamir Khan's film witnesses 'insane drop' on second weekend, earns only  ₹4.65 crore","1661177084000","Laal Singh Chaddha box office: Aamir Khan's film has plummeted to new lows at the box office on its second weekend with experts predicting it is nearing the end of its run.","https://www.hindustantimes.com/entertainment/bollywood/laal-singh-chaddha-bo-aamir-khan-s-film-sees-insane-drop-on-second-weekend-101661170254570.html","50","ENTERTAINMENT"
"59","Kamal Haasan-starrer &#039;Indian 2&#039; resumes shoot ","1661321493000","The movie is the follow-up to the 1996 vigilante action thriller &quot;Indian&quot;, starring Kamal Haasan","https://www.thehindu.com/entertainment/movies/kamal-haasan-starrer-indian-2-resumes-shoot/article65804483.ece","51","ENTERTAINMENT"
"60","New on Amazon Prime this week: ‘Samaritan,’ ‘Ben Stokes: Phoenix from the Ashes’ and more ","1661255816000","Other highlights include Ranbir Kapoor’s ‘Shamshera’ and Marathi language drama ‘Ananya’","https://www.thehindu.com/entertainment/movies/new-on-amazon-prime-this-week-samaritan-ben-stokes-phoenix-from-the-ashes-and-more/article65801432.ece","52","ENTERTAINMENT"
"61","Nawazuddin Siddiqui to star in Zee Studios&#039; revenge drama &#039;Haddi&#039; ","1661244645000","The production house also released Siddiqui&#039;s first look from the movie, which sees him dressed as a woman and striking a pose while sitting on a chair","https://www.thehindu.com/entertainment/movies/nawazuddin-siddiqui-to-star-in-zee-studios-revenge-drama-haddi/article65800956.ece","53","ENTERTAINMENT"
"62","‘The Rehearsal’ series review: Nathan Fielder’s intrepid meditation on human consciousness ","1661246799000","A stellar satire of reality television that lays bare our emotional insecurities and anxieties, but will leave you a little more in love with and forgiving of people in general","https://www.thehindu.com/entertainment/movies/the-rehearsal-series-review-nathan-fielders-intrepid-meditation-on-human-consciousness/article65797555.ece","54","ENTERTAINMENT"
"63","Sets, miniatures and visual effects: A peek into the making of ‘Karthikeya 2’ ","1661247572000","Meticulous pre-production helped create the world of ‘Karthikeya 2’ within limited budgets, says production designer Sahi Suresh","https://www.thehindu.com/entertainment/movies/sets-miniatures-and-visual-effects-a-peek-into-the-making-of-karthikeya-2/article65800605.ece","55","ENTERTAINMENT"
"64","‘Knives Out’ sequel ‘Glass Onion’ to release on December 23 on Netflix ","1661238637000","The film will have its European premiere at the 66th edition of the BFI London Film Festival on October 16","https://www.thehindu.com/entertainment/movies/knives-out-sequel-glass-onion-to-release-on-december-23-on-netflix/article65800623.ece","56","ENTERTAINMENT"
